Name	Gene.name	ImSig	
69	CMPK2	Interferon signalling	
7	ALPK1	Neutrophils	
70	CORO1A	T cells	
72	CRTAM	T cells	
73	CSF1R	Macrophages	
74	CSF3R	Neutrophils	
75	CTSB	Macrophages	
76	CTSS	Macrophages	
77	CXCL9	T cells	
78	CXCR2	Neutrophils	
79	CXCR6	T cells	
8	AOAH	Macrophages	
80	CYBB	Macrophages	
81	CYTH4	Macrophages	
82	CYTIP	T cells	
83	DDX58	Interferon signalling	
84	DDX60	Interferon signalling	
85	DENND5A	Neutrophils	
86	DHX58	Interferon signalling	
87	DOCK10	T cells	
88	DOCK2	T cells	
89	DOCK8	T cells	
9	APBB1IP	T cells	
91	DPYD	Macrophages	
92	DTX3L	Interferon signalling	
93	DYSF	Neutrophils	
95	EMILIN2	Monocytes	
96	EPSTI1	Interferon signalling	
97	FAM129C	B cells	
98	FBXO6	Interferon signalling	
99	FCER1G	Macrophages	
